"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcell","Wolfcampian",20,2.37599664036719,0.486517032452726,0.578448432589167,0.660569522362122,1.16244511441902e-29,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",55,3.39987097973195,0.543328753434775,0.599724621733388,0.65028621423186,6.44781734990671e-37,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",148,4.61253839962772,0.577693061538187,0.607105064259623,0.632418077136468,2.35021154386453e-40,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",403,5.43014236339457,0.598645547397433,0.608165861274708,0.615142969316852,1.66897380776985e-41,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",1097,5.55527952811499,0.60747542775698,0.60747542775698,0.60747542775698,1.74701597210672e-41,5640.07726505589,51463.6934721114,237
"gcell","Osagean",7,1.67843868079288,0.467178352220386,0.56643080902039,0.634959766383332,1.71128311958139e-16,5985.73607934559,50409.543630228,166
"gcell","Osagean",20,2.45155220714732,0.510197590915833,0.576324143446215,0.611909469809758,4.91737533574157e-23,5985.73607934559,50409.543630228,166
"gcell","Osagean",55,3.61375183121045,0.543475551129706,0.574050742218801,0.594388346320095,7.09531006300398e-26,5985.73607934559,50409.543630228,166
"gcell","Osagean",148,5.01139335264586,0.561368854191141,0.575984333628333,0.588628652213783,3.90138059093832e-27,5985.73607934559,50409.543630228,166
"gcell","Osagean",403,5.98160754829698,0.570340124352422,0.575086877681302,0.579565698295299,2.38837715674126e-27,5985.73607934559,50409.543630228,166
"gcell","Osagean",1097,6.13378102412027,0.573434294903255,0.573434294903255,0.573434294903255,2.75606454156649e-27,5985.73607934559,50409.543630228,166
"gcell","Virgilian",7,1.59403374109608,0.497951946238216,0.588087862290216,0.679948564407561,2.72137777442078e-21,6201.5547605201,112514.851625785,216
"gcell","Virgilian",20,2.28116709501991,0.566117962136306,0.638764641677448,0.701352849834561,7.05721437175454e-34,6201.5547605201,112514.851625785,216
"gcell","Virgilian",55,3.25280648206621,0.612826894760538,0.660044759851981,0.689158052296002,1.55490165399328e-42,6201.5547605201,112514.851625785,216
"gcell","Virgilian",148,4.50384834076066,0.642195151967572,0.664059823953072,0.68330858048074,6.063820174906e-47,6201.5547605201,112514.851625785,216
"gcell","Virgilian",403,5.49821106682581,0.658083154061039,0.666486064873473,0.672756631714683,1.55015281872259e-48,6201.5547605201,112514.851625785,216
"gcell","Virgilian",1097,5.73594487694183,0.666050436169072,0.666299904079135,0.666774398799848,1.05791651354096e-48,6201.5547605201,112514.851625785,216
"gcell","Morrowan",7,1.82115599878625,0.430515395733906,0.507984947816342,0.587983729406653,3.11037986405527e-11,6853.98707473175,94673.2986955261,183
"gcell","Morrowan",20,2.41394344174984,0.428373969659072,0.479683841056658,0.542806956753012,6.15214959452115e-14,6853.98707473175,94673.2986955261,183
"gcell","Morrowan",55,3.31388198824115,0.426257268111187,0.472764364196473,0.534615933067878,5.30980889891309e-18,6853.98707473175,94673.2986955261,183
"gcell","Morrowan",148,4.49800374740338,0.457076608410761,0.507851596325865,0.536579762391251,7.53989520741942e-23,6853.98707473175,94673.2986955261,183
"gcell","Morrowan",403,5.58504289383639,0.494968056535218,0.522282965248059,0.530419273607589,2.30565527431899e-25,6853.98707473175,94673.2986955261,183
"gcell","Morrowan",1097,5.92404309106648,0.523811908505128,0.524048379670359,0.52479871599551,1.07219526395787e-25,6853.98707473175,94673.2986955261,183
"gcell","Missourian",7,1.59482541283269,0.479458641551414,0.565721742001644,0.65833931574801,6.55738786588719e-18,6958.23333869135,148350.056294045,202
"gcell","Missourian",20,2.2773535159141,0.505080092948563,0.588414176486055,0.653425764192627,1.10053915348406e-26,6958.23333869135,148350.056294045,202
"gcell","Missourian",55,3.32542652969926,0.54928087988473,0.609103842288305,0.652452073266415,8.16080139718998e-34,6958.23333869135,148350.056294045,202
"gcell","Missourian",148,4.67524605038267,0.594324168358483,0.624286138754004,0.646694903494764,1.50047819724351e-38,6958.23333869135,148350.056294045,202
"gcell","Missourian",403,5.83914981913168,0.618741046697098,0.63140185347013,0.638603515513043,1.51922482703256e-40,6958.23333869135,148350.056294045,202
"gcell","Missourian",1097,6.21732447992463,0.626683608933022,0.629634169752288,0.630877804645895,1.40980754690288e-40,6958.23333869135,148350.056294045,202
"gcell","Desmoinesian",7,1.61199373634121,0.472539799327774,0.552420674723819,0.646937959733368,1.06423112736268e-16,8223.55019875379,204216.725025965,204
"gcell","Desmoinesian",20,2.30310618456014,0.477070691062703,0.574386610039352,0.648179023315416,9.24676047591366e-25,8223.55019875379,204216.725025965,204
"gcell","Desmoinesian",55,3.33657817708622,0.551851181714074,0.601229889369233,0.653268010167094,1.21401829790598e-32,8223.55019875379,204216.725025965,204
"gcell","Desmoinesian",148,4.79926846441207,0.590646830269118,0.62535485420949,0.647166582024434,2.29204957098588e-38,8223.55019875379,204216.725025965,204
"gcell","Desmoinesian",403,6.25258622889289,0.61132108131099,0.626768573233742,0.639749477147902,6.85440413986552e-40,8223.55019875379,204216.725025965,204
"gcell","Desmoinesian",1097,6.9189068596836,0.62378980144064,0.628632747413383,0.630162873577003,1.6172935290713e-40,8223.55019875379,204216.725025965,204
"gcell","Atokan",7,1.6595219004577,0.458962909885397,0.547383878691291,0.642244113776785,2.86445197750506e-14,8561.33380655695,114346.681376788,194
"gcell","Atokan",20,2.28194495781262,0.470533639695635,0.544116525388515,0.631111624736693,3.22787345634095e-21,8561.33380655695,114346.681376788,194
"gcell","Atokan",55,3.26048545701514,0.484630077047411,0.566275118476014,0.616034764221605,6.12168170905319e-28,8561.33380655695,114346.681376788,194
"gcell","Atokan",148,4.54901573301046,0.548173616054062,0.581216415856413,0.6093264928982,1.11806042490548e-31,8561.33380655695,114346.681376788,194
